CBOrder	TrialNum	TrueStrucImage	FoilStrucImage	TrueStrucNum	FoilStrucNum	SideTrueStruc	NodeClick	RTNodeClick	OutcomeImg	StrucSelected	RTStrucSelected	ConfRating	RTConfRating	NodeCondition	SubID
2	999	images/schematics/jpgs/pracStructure1.jpg	images/schematics/jpgs/pracStructure2.jpg	0	0	1	3	12.50961	config10.jpg	2	1.394486	100	3.409887	3	138
2	1	images/schematics/jpgs/schem102.jpg	images/schematics/jpgs/schem101.jpg	102	101	1	2	17.54579	4_config9.jpg	2	1.517721	100	2.293503	4	138
2	2	images/schematics/jpgs/schem128.jpg	images/schematics/jpgs/schem131.jpg	128	131	1	2	22.62712	4_config2.jpg	2	1.91651	100	2.140231	4	138
2	3	images/schematics/jpgs/schem129.jpg	images/schematics/jpgs/schem128.jpg	129	128	1	2	5.47776	4_config2.jpg	1	5.853572	0	0.01232074	4	138
2	4	images/schematics/jpgs/schem12.jpg	images/schematics/jpgs/schem11.jpg	12	11	2	1	20.26009	config2.jpg	2	2.4962	100	1.587806	3	138
2	5	images/schematics/jpgs/schem122.jpg	images/schematics/jpgs/schem127.jpg	122	127	1	1	24.79797	4_config19.jpg	1	1.317771	100	0.8979874	4	138
2	6	images/schematics/jpgs/schem116.jpg	images/schematics/jpgs/schem117.jpg	116	117	2	1	19.87811	4_config19.jpg	2	1.219774	100	0.8790633	4	138
2	7	images/schematics/jpgs/schem14.jpg	images/schematics/jpgs/schem20.jpg	14	20	2	1	16.32275	config2.jpg	2	2.561651	100	1.115878	3	138
2	8	images/schematics/jpgs/schem12.jpg	images/schematics/jpgs/schem9.jpg	12	9	1	2	7.612782	config6.jpg	1	1.981076	100	0.7969838	3	138
2	9	images/schematics/jpgs/schem2.jpg	images/schematics/jpgs/schem1.jpg	2	1	2	3	7.006814	config4.jpg	1	1.167767	100	1.013734	3	138
2	10	images/schematics/jpgs/schem1.jpg	images/schematics/jpgs/schem17.jpg	1	17	1	2	3.064193	config3.jpg	1	0.7883087	100	0.8635425	3	138
2	11	images/schematics/jpgs/schem123.jpg	images/schematics/jpgs/schem124.jpg	123	124	2	2	5.775349	4_config2.jpg	2	1.397385	100	0.8307758	4	138
2	12	images/schematics/jpgs/schem5.jpg	images/schematics/jpgs/schem17.jpg	5	17	2	1	11.16019	config2.jpg	2	0.5816728	100	0.9637787	3	138
2	13	images/schematics/jpgs/schem128.jpg	images/schematics/jpgs/schem130.jpg	128	130	1	2	5.90652	4_config3.jpg	1	0.7977029	100	0.8998209	4	138
2	14	images/schematics/jpgs/schem4.jpg	images/schematics/jpgs/schem7.jpg	4	7	2	3	2.992484	config4.jpg	2	0.3240379	100	0.8827296	3	138
2	15	images/schematics/jpgs/schem7.jpg	images/schematics/jpgs/schem3.jpg	7	3	1	2	15.79812	config6.jpg	1	1.533764	100	0.798622	3	138
2	16	images/schematics/jpgs/schem5.jpg	images/schematics/jpgs/schem18.jpg	5	18	1	1	2.117436	config2.jpg	1	1.95433	100	0.7139179	3	138
2	17	images/schematics/jpgs/schem133.jpg	images/schematics/jpgs/schem130.jpg	133	130	2	4	4.380627	4_config28.jpg	2	0.3760467	100	0.7974967	4	138
2	18	images/schematics/jpgs/schem125.jpg	images/schematics/jpgs/schem126.jpg	125	126	1	3	22.18822	4_config11.jpg	1	10.62729	100	0.7970397	4	138
2	19	images/schematics/jpgs/schem16.jpg	images/schematics/jpgs/schem1.jpg	16	1	2	2	5.554129	config9.jpg	2	0.6451556	100	0.9309179	3	138
2	20	images/schematics/jpgs/schem119.jpg	images/schematics/jpgs/schem114.jpg	119	114	2	3	7.289489	4_config16.jpg	2	4.888351	100	0.847542	4	138
2	21	images/schematics/jpgs/schem121.jpg	images/schematics/jpgs/schem122.jpg	121	122	1	4	12.55556	4_config30.jpg	2	18.78011	-37.695313	2.114798	4	138
2	22	images/schematics/jpgs/schem132.jpg	images/schematics/jpgs/schem128.jpg	132	128	2	2	3.857373	4_config2.jpg	2	20.12539	100	1.299526	4	138
2	23	images/schematics/jpgs/schem126.jpg	images/schematics/jpgs/schem127.jpg	126	127	2	3	4.685488	4_config14.jpg	2	1.849015	100	0.7637763	4	138
2	24	images/schematics/jpgs/schem13.jpg	images/schematics/jpgs/schem18.jpg	13	18	2	2	6.838913	config3.jpg	2	0.6148545	100	0.5306059	3	138
2	25	images/schematics/jpgs/schem16.jpg	images/schematics/jpgs/schem5.jpg	16	5	2	1	1.379319	config7.jpg	2	3.194449	100	1.198	3	138
2	26	images/schematics/jpgs/schem19.jpg	images/schematics/jpgs/schem20.jpg	19	20	1	3	11.17534	config10.jpg	1	6.663732	12.890625	0.8808406	3	138
2	27	images/schematics/jpgs/schem19.jpg	images/schematics/jpgs/schem11.jpg	19	11	1	3	6.159301	config4.jpg	1	0.5990837	100	0.6498462	3	138
2	28	images/schematics/jpgs/schem7.jpg	images/schematics/jpgs/schem9.jpg	7	9	1	3	4.16931	config8.jpg	1	0.9841463	100	2.048355	3	138
2	29	images/schematics/jpgs/schem107.jpg	images/schematics/jpgs/schem103.jpg	107	103	1	1	6.066877	4_config18.jpg	1	1.281663	100	0.4973777	4	138
2	30	images/schematics/jpgs/schem104.jpg	images/schematics/jpgs/schem113.jpg	104	113	1	2	9.989563	4_config2.jpg	2	11.34412	-44.140625	1.464752	4	138
2	31	images/schematics/jpgs/schem17.jpg	images/schematics/jpgs/schem10.jpg	17	10	2	2	1.023333	config3.jpg	1	0.6836003	100	0.8641312	3	138
2	32	images/schematics/jpgs/schem106.jpg	images/schematics/jpgs/schem107.jpg	106	107	1	4	2.352704	4_config26.jpg	1	1.196562	89.453125	0.998144	4	138
2	33	images/schematics/jpgs/schem7.jpg	images/schematics/jpgs/schem6.jpg	7	6	2	3	8.449578	config8.jpg	2	0.5483072	100	0.6329025	3	138
2	34	images/schematics/jpgs/schem9.jpg	images/schematics/jpgs/schem13.jpg	9	13	2	2	4.978819	config12.jpg	2	1.349992	100	0.8308401	3	138
2	35	images/schematics/jpgs/schem113.jpg	images/schematics/jpgs/schem105.jpg	113	105	2	2	7.289845	4_config6.jpg	2	10.89924	-0.976563	2.115211	4	138
2	36	images/schematics/jpgs/schem2.jpg	images/schematics/jpgs/schem9.jpg	2	9	1	3	5.458874	config10.jpg	1	0.848691	100	1.132362	3	138
2	37	images/schematics/jpgs/schem118.jpg	images/schematics/jpgs/schem115.jpg	118	115	2	2	13.09222	4_config2.jpg	2	0.6294044	6.054688	0.5138797	4	138
2	38	images/schematics/jpgs/schem9.jpg	images/schematics/jpgs/schem4.jpg	9	4	1	1	1.073841	config7.jpg	1	0.8624191	100	0.7142965	3	138
2	39	images/schematics/jpgs/schem117.jpg	images/schematics/jpgs/schem118.jpg	117	118	1	2	3.079083	4_config8.jpg	1	0.4480695	100	0.6477489	4	138
2	40	images/schematics/jpgs/schem115.jpg	images/schematics/jpgs/schem120.jpg	115	120	2	2	4.031029	4_config5.jpg	2	2.944258	100	1.28123	4	138
