CBOrder	TrialNum	TrueStrucImage	FoilStrucImage	TrueStrucNum	FoilStrucNum	SideTrueStruc	NodeClick	RTNodeClick	OutcomeImg	StrucSelected	RTStrucSelected	ConfRating	RTConfRating	NodeCondition	SubID
1	999	images/schematics/jpgs/pracStructure1.jpg	images/schematics/jpgs/pracStructure2.jpg	0	0	1	3	2.42	config10.jpg	2	1.97	100	3.11	3	168
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	168
1	1	images/schematics/jpgs/schem2.jpg	images/schematics/jpgs/schem9.jpg	2	9	2	3	5.23	config10.jpg	2	1.15	100	1.77	3	168
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	168
1	2	images/schematics/jpgs/schem116.jpg	images/schematics/jpgs/schem117.jpg	116	117	1	2	4.63	4_config2.jpg	1	1.8	87.304688	1.42	4	168
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	168
1	3	images/schematics/jpgs/schem113.jpg	images/schematics/jpgs/schem104.jpg	113	104	2	2	3.63	4_config2.jpg	1	7.89	-100	2.3	4	168
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	168
1	4	images/schematics/jpgs/schem18.jpg	images/schematics/jpgs/schem13.jpg	18	13	2	2	3.41	config9.jpg	2	0.721	100	0.818	3	168
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	168
1	5	images/schematics/jpgs/schem118.jpg	images/schematics/jpgs/schem117.jpg	118	117	1	3	1.26	4_config17.jpg	2	4.33	100	0.924	4	168
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	168
1	6	images/schematics/jpgs/schem115.jpg	images/schematics/jpgs/schem118.jpg	115	118	1	4	3.75	4_config29.jpg	1	1.25	90.820312	1.74	4	168
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	168
1	7	images/schematics/jpgs/schem10.jpg	images/schematics/jpgs/schem17.jpg	10	17	1	1	1.49	config5.jpg	1	0.94	86.914062	1.42	3	168
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	168
