CBOrder	TrialNum	TrueStrucImage	FoilStrucImage	TrueStrucNum	FoilStrucNum	SideTrueStruc	NodeClick	RTNodeClick	OutcomeImg	StrucSelected	RTStrucSelected	ConfRating	RTConfRating	NodeCondition	SubID
2	999	images/schematics/jpgs/pracStructure1.jpg	images/schematics/jpgs/pracStructure2.jpg	0	0	1	3	5.670031	config10.jpg	2	1.572371	81.835938	7.046581	3	183
2	1	images/schematics/jpgs/schem120.jpg	images/schematics/jpgs/schem115.jpg	120	115	1	3	12.08815	4_config13.jpg	1	8.018163	100	2.802761	4	183
2	2	images/schematics/jpgs/schem5.jpg	images/schematics/jpgs/schem16.jpg	5	16	2	1	14.61933	config2.jpg	2	1.169556	64.84375	1.30527	3	183
2	3	images/schematics/jpgs/schem122.jpg	images/schematics/jpgs/schem127.jpg	122	127	1	4	20.35604	4_config28.jpg	1	4.335278	54.296875	0.8873469	4	183
2	4	images/schematics/jpgs/schem13.jpg	images/schematics/jpgs/schem18.jpg	13	18	1	2	5.445278	config3.jpg	1	0.868469	100	1.185499	3	183
2	5	images/schematics/jpgs/schem7.jpg	images/schematics/jpgs/schem4.jpg	7	4	1	3	2.938199	config4.jpg	2	2.087378	86.71875	1.157191	3	183
2	6	images/schematics/jpgs/schem114.jpg	images/schematics/jpgs/schem119.jpg	114	119	2	3	10.90397	4_config17.jpg	2	19.19619	3.320312	2.423475	4	183
2	7	images/schematics/jpgs/schem3.jpg	images/schematics/jpgs/schem7.jpg	3	7	1	2	29.10005	config3.jpg	1	5.236822	-16.40625	1.590548	3	183
2	8	images/schematics/jpgs/schem128.jpg	images/schematics/jpgs/schem132.jpg	128	132	2	4	6.660808	4_config32.jpg	2	9.170481	16.210938	1.123577	4	183
2	9	images/schematics/jpgs/schem128.jpg	images/schematics/jpgs/schem130.jpg	128	130	1	3	9.121845	4_config10.jpg	1	1.385777	65.429688	0.9072984	4	183
2	10	images/schematics/jpgs/schem1.jpg	images/schematics/jpgs/schem17.jpg	1	17	2	2	13.67672	config3.jpg	2	1.670005	95.117188	1.408473	3	183
2	11	images/schematics/jpgs/schem124.jpg	images/schematics/jpgs/schem123.jpg	124	123	2	2	8.87306	4_config4.jpg	2	3.135206	83.984375	1.390663	4	183
2	12	images/schematics/jpgs/schem9.jpg	images/schematics/jpgs/schem13.jpg	9	13	1	2	2.199568	config12.jpg	1	5.952789	62.695312	1.124394	3	183
2	13	images/schematics/jpgs/schem17.jpg	images/schematics/jpgs/schem10.jpg	17	10	2	3	3.78686	config4.jpg	1	1.869225	-0.195312	5.673476	3	183
