CBOrder	TrialNum	TrueStrucImage	FoilStrucImage	TrueStrucNum	FoilStrucNum	SideTrueStruc	NodeClick	RTNodeClick	OutcomeImg	StrucSelected	RTStrucSelected	ConfRating	RTConfRating	NodeCondition	SubID
1	999	images/schematics/jpgs/pracStructure1.jpg	images/schematics/jpgs/pracStructure2.jpg	0	0	1	2	4.895767	config3.jpg	2	47.44076	54.492188	7.547779	3	149
1	1	images/schematics/jpgs/schem103.jpg	images/schematics/jpgs/schem107.jpg	103	107	2	2	55.24445	4_config9.jpg	1	51.72681	-25.195313	3.162642	4	149
1	2	images/schematics/jpgs/schem1.jpg	images/schematics/jpgs/schem17.jpg	1	17	1	2	27.04447	config3.jpg	1	11.53455	40.234375	1.797537	3	149
1	3	images/schematics/jpgs/schem117.jpg	images/schematics/jpgs/schem116.jpg	117	116	1	4	66.59414	4_config26.jpg	1	7.453942	44.726563	1.23085	4	149
1	4	images/schematics/jpgs/schem128.jpg	images/schematics/jpgs/schem130.jpg	128	130	2	4	16.88331	4_config32.jpg	2	8.727228	89.453125	1.797529	4	149
1	5	images/schematics/jpgs/schem126.jpg	images/schematics/jpgs/schem127.jpg	126	127	1	3	63.2039	4_config11.jpg	2	7.187491	56.445313	1.430818	4	149
1	6	images/schematics/jpgs/schem4.jpg	images/schematics/jpgs/schem7.jpg	4	7	2	3	45.50387	config4.jpg	2	25.89433	12.695313	0.7978397	3	149
1	7	images/schematics/jpgs/schem118.jpg	images/schematics/jpgs/schem117.jpg	118	117	2	2	18.49305	4_config2.jpg	2	7.104715	84.960938	1.097716	4	149
1	8	images/schematics/jpgs/schem4.jpg	images/schematics/jpgs/schem9.jpg	4	9	1	2	19.68242	config3.jpg	1	22.83191	-65.625	3.030352	3	149
1	9	images/schematics/jpgs/schem20.jpg	images/schematics/jpgs/schem19.jpg	20	19	1	3	22.79367	config13.jpg	1	1.695593	97.070313	1.364384	3	149
1	10	images/schematics/jpgs/schem2.jpg	images/schematics/jpgs/schem9.jpg	2	9	2	2	65.98316	config3.jpg	2	2.700739	40.429688	1.680647	3	149
1	11	images/schematics/jpgs/schem9.jpg	images/schematics/jpgs/schem12.jpg	9	12	2	3	75.78594	config4.jpg	2	12.27811	29.882813	1.064341	3	149
1	12	images/schematics/jpgs/schem20.jpg	images/schematics/jpgs/schem14.jpg	20	14	2	3	18.46702	config13.jpg	2	0.7484981	96.484375	1.464193	3	149
1	13	images/schematics/jpgs/schem10.jpg	images/schematics/jpgs/schem17.jpg	10	17	1	2	24.39865	config3.jpg	1	3.182772	7.8125	2.44731	3	149
1	14	images/schematics/jpgs/schem122.jpg	images/schematics/jpgs/schem121.jpg	122	121	1	3	15.5848	4_config14.jpg	1	1.774394	97.65625	1.847448	4	149
1	15	images/schematics/jpgs/schem1.jpg	images/schematics/jpgs/schem16.jpg	1	16	1	2	17.62256	config3.jpg	1	1.299149	26.171875	0.7813435	3	149
1	16	images/schematics/jpgs/schem120.jpg	images/schematics/jpgs/schem115.jpg	120	115	1	2	32.56944	4_config2.jpg	1	5.008454	14.257813	1.347846	4	149
1	17	images/schematics/jpgs/schem101.jpg	images/schematics/jpgs/schem102.jpg	101	102	2	1	40.4043	4_config18.jpg	2	6.313479	-23.632813	1.714283	4	149
1	18	images/schematics/jpgs/schem5.jpg	images/schematics/jpgs/schem16.jpg	5	16	2	1	29.2529	config2.jpg	2	0.8158684	27.148438	0.7480486	3	149
1	19	images/schematics/jpgs/schem119.jpg	images/schematics/jpgs/schem114.jpg	119	114	1	2	37.95867	4_config4.jpg	1	6.449734	98.828125	2.080823	4	149
1	20	images/schematics/jpgs/schem124.jpg	images/schematics/jpgs/schem123.jpg	124	123	2	2	26.18078	4_config2.jpg	1	0.570412	9.570313	0.4648035	4	149
1	21	images/schematics/jpgs/schem126.jpg	images/schematics/jpgs/schem125.jpg	126	125	2	3	61.45306	4_config14.jpg	2	2.338759	85.546875	1.114661	4	149
1	22	images/schematics/jpgs/schem128.jpg	images/schematics/jpgs/schem131.jpg	128	131	2	2	60.02539	4_config2.jpg	1	8.933187	0.976563	0.997989	4	149
1	23	images/schematics/jpgs/schem5.jpg	images/schematics/jpgs/schem17.jpg	5	17	2	1	24.1193	config2.jpg	2	3.937347	12.890625	1.530862	3	149
1	24	images/schematics/jpgs/schem7.jpg	images/schematics/jpgs/schem6.jpg	7	6	1	2	38.77015	config6.jpg	1	23.87601	22.65625	0.8146227	3	149
1	25	images/schematics/jpgs/schem3.jpg	images/schematics/jpgs/schem7.jpg	3	7	2	2	20.55922	config9.jpg	2	16.26467	99.609375	1.780834	3	149
1	26	images/schematics/jpgs/schem129.jpg	images/schematics/jpgs/schem128.jpg	129	128	2	1	25.7674	4_config23.jpg	2	5.565058	-0.195313	3.246989	4	149
1	27	images/schematics/jpgs/schem13.jpg	images/schematics/jpgs/schem18.jpg	13	18	2	2	6.398392	config3.jpg	2	5.229247	0	2.014151	3	149
1	28	images/schematics/jpgs/schem12.jpg	images/schematics/jpgs/schem11.jpg	12	11	1	2	43.84056	config6.jpg	1	0.5462223	98.632813	2.6972	3	149
1	29	images/schematics/jpgs/schem115.jpg	images/schematics/jpgs/schem118.jpg	115	118	1	2	60.23962	4_config8.jpg	1	1.876139	98.4375	1.164516	4	149
1	30	images/schematics/jpgs/schem122.jpg	images/schematics/jpgs/schem127.jpg	122	127	1	1	15.33401	4_config19.jpg	1	6.112635	64.84375	0.8480687	4	149
1	31	images/schematics/jpgs/schem2.jpg	images/schematics/jpgs/schem1.jpg	2	1	1	3	6.88349	config4.jpg	2	0.7393761	13.867188	0.4814459	3	149
1	32	images/schematics/jpgs/schem104.jpg	images/schematics/jpgs/schem113.jpg	104	113	2	4	77.51256	4_config26.jpg	2	0.414799	9.375	0.8148284	4	149
1	33	images/schematics/jpgs/schem133.jpg	images/schematics/jpgs/schem130.jpg	133	130	1	1	31.179	4_config18.jpg	1	7.002981	12.109375	0.9645664	4	149
1	34	images/schematics/jpgs/schem128.jpg	images/schematics/jpgs/schem132.jpg	128	132	1	2	15.10161	4_config3.jpg	1	1.005134	97.851563	2.44749	4	149
1	35	images/schematics/jpgs/schem13.jpg	images/schematics/jpgs/schem9.jpg	13	9	1	2	7.845675	config3.jpg	1	2.421024	0.195313	1.447837	3	149
1	36	images/schematics/jpgs/schem113.jpg	images/schematics/jpgs/schem105.jpg	113	105	2	4	18.38881	4_config26.jpg	1	30.16119	0	0.8812857	4	149
1	37	images/schematics/jpgs/schem9.jpg	images/schematics/jpgs/schem7.jpg	9	7	2	3	6.574682	config4.jpg	2	1.444961	8.984375	0.5648723	3	149
1	38	images/schematics/jpgs/schem19.jpg	images/schematics/jpgs/schem11.jpg	19	11	1	3	5.971749	config4.jpg	2	21.61432	0	0.531476	3	149
1	39	images/schematics/jpgs/schem107.jpg	images/schematics/jpgs/schem106.jpg	107	106	1	1	36.3213	4_config18.jpg	1	1.071514	22.65625	0.8981591	4	149
1	40	images/schematics/jpgs/schem18.jpg	images/schematics/jpgs/schem5.jpg	18	5	2	1	4.508981	config7.jpg	2	0.6366233	98.828125	1.181377	3	149
