CBOrder	TrialNum	TrueStrucImage	FoilStrucImage	TrueStrucNum	FoilStrucNum	SideTrueStruc	NodeClick	RTNodeClick	OutcomeImg	StrucSelected	RTStrucSelected	ConfRating	RTConfRating	NodeCondition	SubID
2	999	images/schematics/jpgs/pracStructure1.jpg	images/schematics/jpgs/pracStructure2.jpg	0	0	1	3	25.29822	config10.jpg	2	6.400809	100	16.55753	3	128
2	1	images/schematics/jpgs/schem20.jpg	images/schematics/jpgs/schem14.jpg	20	14	2	3	6.127646	config10.jpg	1	7.580039	-100	6.111366	3	128
2	2	images/schematics/jpgs/schem6.jpg	images/schematics/jpgs/schem7.jpg	6	7	2	2	6.917761	config12.jpg	2	7.587912	100	1.913978	3	128
2	3	images/schematics/jpgs/schem18.jpg	images/schematics/jpgs/schem13.jpg	18	13	2	1	6.748043	config7.jpg	1	5.380858	-100	2.513762	3	128
2	4	images/schematics/jpgs/schem2.jpg	images/schematics/jpgs/schem1.jpg	2	1	1	2	8.49674	config3.jpg	1	9.884995	-100	4.229822	3	128
2	5	images/schematics/jpgs/schem121.jpg	images/schematics/jpgs/schem122.jpg	121	122	2	3	9.44115	4_config10.jpg	2	8.170344	-100	1.797504	4	128
2	6	images/schematics/jpgs/schem127.jpg	images/schematics/jpgs/schem126.jpg	127	126	2	2	3.591554	4_config2.jpg	1	5.675007	-100	4.812812	4	128
2	7	images/schematics/jpgs/schem117.jpg	images/schematics/jpgs/schem116.jpg	117	116	1	1	8.586016	4_config18.jpg	2	5.1035	-100	2.963734	4	128
2	8	images/schematics/jpgs/schem104.jpg	images/schematics/jpgs/schem113.jpg	104	113	1	4	4.100953	4_config26.jpg	2	3.608307	100	1.914131	4	128
2	9	images/schematics/jpgs/schem132.jpg	images/schematics/jpgs/schem128.jpg	132	128	1	3	2.60533	4_config11.jpg	1	5.616427	100	2.630569	4	128
2	10	images/schematics/jpgs/schem4.jpg	images/schematics/jpgs/schem9.jpg	4	9	1	2	2.935321	config6.jpg	1	4.759556	-100	2.880414	3	128
2	11	images/schematics/jpgs/schem133.jpg	images/schematics/jpgs/schem130.jpg	133	130	1	3	6.890944	4_config10.jpg	1	2.858286	100	1.913968	4	128
2	12	images/schematics/jpgs/schem103.jpg	images/schematics/jpgs/schem107.jpg	103	107	2	3	5.955243	4_config13.jpg	1	15.04362	-100	1.780797	4	128
