CBOrder	TrialNum	TrueStrucImage	FoilStrucImage	TrueStrucNum	FoilStrucNum	SideTrueStruc	NodeClick	RTNodeClick	OutcomeImg	StrucSelected	RTStrucSelected	ConfRating	RTConfRating	NodeCondition	SubID
1	999	images/schematics/jpgs/pracStructure1.jpg	images/schematics/jpgs/pracStructure2.jpg	0	0	1	3	3.58	config10.jpg	2	1.19	100	2.99	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	1	images/schematics/jpgs/schem12.jpg	images/schematics/jpgs/schem9.jpg	12	9	1	3	14.2	config13.jpg	1	8.27	100	1.99	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	2	images/schematics/jpgs/schem126.jpg	images/schematics/jpgs/schem127.jpg	126	127	2	4	9.35	4_config28.jpg	2	4.68	100	1.37	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	3	images/schematics/jpgs/schem113.jpg	images/schematics/jpgs/schem105.jpg	113	105	1	2	7.34	4_config6.jpg	1	3.22	100	1.89	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	4	images/schematics/jpgs/schem19.jpg	images/schematics/jpgs/schem11.jpg	19	11	2	3	6.01	config10.jpg	2	1.67	100	1.22	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	5	images/schematics/jpgs/schem17.jpg	images/schematics/jpgs/schem1.jpg	17	1	2	2	7.55	config9.jpg	2	0.654	100	1.06	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	6	images/schematics/jpgs/schem107.jpg	images/schematics/jpgs/schem106.jpg	107	106	1	1	13.8	4_config18.jpg	1	6.84	46.484375	2.66	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	7	images/schematics/jpgs/schem124.jpg	images/schematics/jpgs/schem123.jpg	124	123	1	2	2.38	4_config4.jpg	1	0.769	100	1.52	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	8	images/schematics/jpgs/schem13.jpg	images/schematics/jpgs/schem9.jpg	13	9	1	2	3.09	config3.jpg	1	1.55	62.304688	6.82	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	9	images/schematics/jpgs/schem4.jpg	images/schematics/jpgs/schem9.jpg	4	9	1	1	4.82	config2.jpg	1	0.953	77.929688	5.19	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	10	images/schematics/jpgs/schem133.jpg	images/schematics/jpgs/schem130.jpg	133	130	1	2	7.08	4_config2.jpg	2	5.27	-0.195312	4.89	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	11	images/schematics/jpgs/schem122.jpg	images/schematics/jpgs/schem121.jpg	122	121	2	4	6.1	4_config28.jpg	2	0.837	0	2.02	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	12	images/schematics/jpgs/schem13.jpg	images/schematics/jpgs/schem18.jpg	13	18	1	2	3.26	config3.jpg	1	1.04	73.242188	2.72	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	13	images/schematics/jpgs/schem126.jpg	images/schematics/jpgs/schem125.jpg	126	125	1	3	3.69	4_config11.jpg	2	7.22	75.195312	2.84	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	14	images/schematics/jpgs/schem1.jpg	images/schematics/jpgs/schem16.jpg	1	16	2	2	2.88	config3.jpg	2	0.624	70.898438	1.66	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	15	images/schematics/jpgs/schem129.jpg	images/schematics/jpgs/schem128.jpg	129	128	2	2	20.4	4_config2.jpg	2	1.05	78.710938	2.11	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	16	images/schematics/jpgs/schem9.jpg	images/schematics/jpgs/schem7.jpg	9	7	2	2	2.75	config6.jpg	1	8.8	43.75	1.79	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	17	images/schematics/jpgs/schem7.jpg	images/schematics/jpgs/schem6.jpg	7	6	1	3	8.83	config8.jpg	1	1.82	100	1.11	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	18	images/schematics/jpgs/schem117.jpg	images/schematics/jpgs/schem118.jpg	117	118	2	3	4.04	4_config14.jpg	2	5.3	100	0.975	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	19	images/schematics/jpgs/schem104.jpg	images/schematics/jpgs/schem113.jpg	104	113	1	4	9.91	4_config26.jpg	1	1.67	73.828125	2.12	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	20	images/schematics/jpgs/schem18.jpg	images/schematics/jpgs/schem5.jpg	18	5	2	1	4.75	config7.jpg	2	1.22	100	1.06	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	21	images/schematics/jpgs/schem114.jpg	images/schematics/jpgs/schem119.jpg	114	119	2	3	8.4	4_config17.jpg	2	1.42	100	1.78	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	22	images/schematics/jpgs/schem132.jpg	images/schematics/jpgs/schem128.jpg	132	128	2	2	9.75	4_config2.jpg	2	1.75	79.6875	2.69	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	23	images/schematics/jpgs/schem118.jpg	images/schematics/jpgs/schem115.jpg	118	115	1	3	3.7	4_config17.jpg	2	1.6	100	1.52	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	24	images/schematics/jpgs/schem7.jpg	images/schematics/jpgs/schem4.jpg	7	4	1	3	1.13	config8.jpg	1	1.07	100	0.741	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	25	images/schematics/jpgs/schem20.jpg	images/schematics/jpgs/schem14.jpg	20	14	2	3	6.03	config13.jpg	2	0.49	100	0.924	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	26	images/schematics/jpgs/schem115.jpg	images/schematics/jpgs/schem120.jpg	115	120	2	1	9.65	4_config18.jpg	2	1.35	78.320312	1.87	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	27	images/schematics/jpgs/schem10.jpg	images/schematics/jpgs/schem17.jpg	10	17	1	2	13.1	config3.jpg	1	0.953	73.632812	2.42	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	28	images/schematics/jpgs/schem20.jpg	images/schematics/jpgs/schem19.jpg	20	19	2	3	1.91	config13.jpg	2	4.01	100	1.22	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	29	images/schematics/jpgs/schem7.jpg	images/schematics/jpgs/schem3.jpg	7	3	1	2	1.83	config3.jpg	2	6.82	-0.195312	4.79	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	30	images/schematics/jpgs/schem101.jpg	images/schematics/jpgs/schem102.jpg	101	102	2	1	16.2	4_config18.jpg	2	3.31	67.1875	1.49	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	31	images/schematics/jpgs/schem2.jpg	images/schematics/jpgs/schem9.jpg	2	9	1	2	5.02	config3.jpg	1	0.99	64.84375	1.81	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	32	images/schematics/jpgs/schem16.jpg	images/schematics/jpgs/schem5.jpg	16	5	2	1	6.09	config11.jpg	2	0.888	100	1.06	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	33	images/schematics/jpgs/schem116.jpg	images/schematics/jpgs/schem117.jpg	116	117	2	4	9.99	4_config31.jpg	2	2.09	100	0.776	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	34	images/schematics/jpgs/schem17.jpg	images/schematics/jpgs/schem5.jpg	17	5	2	1	8.28	config2.jpg	1	0.736	76.5625	1.21	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	35	images/schematics/jpgs/schem127.jpg	images/schematics/jpgs/schem122.jpg	127	122	1	4	4.24	4_config29.jpg	1	7.17	100	1.11	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	36	images/schematics/jpgs/schem128.jpg	images/schematics/jpgs/schem130.jpg	128	130	2	2	5.85	4_config3.jpg	2	0.938	100	0.808	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	37	images/schematics/jpgs/schem1.jpg	images/schematics/jpgs/schem2.jpg	1	2	1	3	4.73	config4.jpg	1	0.703	70.703125	0.959	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	38	images/schematics/jpgs/schem128.jpg	images/schematics/jpgs/schem131.jpg	128	131	2	2	3.97	4_config3.jpg	2	0.923	100	0.807	4	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	39	images/schematics/jpgs/schem12.jpg	images/schematics/jpgs/schem11.jpg	12	11	1	1	4.47	config2.jpg	1	2.82	72.851562	3.79	3	170
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170
1	40	images/schematics/jpgs/schem103.jpg	images/schematics/jpgs/schem107.jpg	103	107	1	1	6.42	4_config18.jpg	2	2.04	73.242188	2.52	4	170
